.-.----.... (a's)
.....-..-.--...--..--. (braadpan)
.....-..-.--...--..--.-..-. (braadpannen)
.....-..-.--......-...-... (braadslede)
.....-..-.--......-...-...-. (braadsleden)
.....-..-.--......-.... (braadslee)
.....-..-.--......-....-. (braadsleeãn)
.....-..-.--......--..-.-. (braadspeten)
.....-..-.--......--...- (braadspit)
.....-..-.--......--...--.-. (braadspitten)
.....-..-.--.....-.- (braadvet)
.....-..-.-..-. (braaf)
.....-..-.--.-.-...--.-.. (braakland)
.....-..-.--.-.-..------.--. (braakloop)
.....-..-.--.---..-..-....-.. (braakmiddel)
.....-..-.--.---..-..-....-...-. (braakmiddelen)
.....-..-.--.---..-..-....-..-.---. (braakmiddeltje)
.....-..-.--.---..-..-....-..-.---.... (braakmiddeltjes)
.....-..-.--.-.--.---.-....-. (braakpoeder)
.....-..-.--.-.--.---.-....-.... (braakpoeders)
.....-..-.--.-.--.---.-....-.-.---. (braakpoedertje)
.....-..-.--.-.--.---.-....-.-.---.... (braakpoedertjes)
.....-..-.--.-.--.---.....-. (braakpoeier)
.....-..-.--.-.--.---.....-.... (braakpoeiers)
.....-..-.--.-.--.---.....-.-.---. (braakpoeiertje)
.....-..-.--.-.--.---.....-.-.---.... (braakpoeiertjes)
.....-..-.--.-.....-.. (braaksel)
.....-..-.--.--. (braakte)
.....-..-.---....---...-.-..... (braambosch)
.....-..-.---....---......-.-......-. (braambosschen)
.....-..-.---.--..---. (braampje)
.....-..-.---.--..---.... (braampjes)
.....-..-.---...-.-...-..-.- (braamstruik)
.....-..-.---...-.-...-..-.-.-. (braamstruiken)
.-..-.....--.-....-. (Brabander)
.-..-.....--.-....-.... (Brabanders)
.-..-.....--.- (Brabant)
.-..-.....--.-...-.-..... (Brabantsch)
.....-..-..........-...-.-.-. (brabbelaar)
.....-..-..........-...-.-.-.... (brabbelaars)
.....-..-..........-..-... (brabbelde)
.....-..-..........-...-. (brabbelen)
.....-..--.-...-...- (bracelet)
.....-..--.-...-...--.-. (braceletten)
.....-..--.-.....- (bracht)
.....-..--.-.....-.---.-...--......-.-.-.. (brachycephaal)
.....-..--...-. (braden)
.....-..--.- (brak)
.....-..--.-.-. (braken)
.....-..--.-..-. (braker)
.....-..--.-..-.... (brakers)
.....-..--.-.......-.. (brakheid)
.....-..--.-..-.--. (braking)
.....-..--.-..-.--..-. (brakingen)
.....-..--.--.-.-. (brakken)
.....-..--.--.-..-. (brakker)
.....-..--.-...- (brakst)
.....-..-.-..-... (bralde)
.....-..--- (bram)
.....-..---.-. (bramen)
.....-..-----.-. (brammen)
.....-..---.-..- (bramra)
.....-..---.-..-.-... (bramraas)
.....-..---...-.-.--. (bramsteng)
.....-..---...-.-.--..-. (bramstengen)
.....-..-----......-.. (bramzeil)
.....-..-----......-...-. (bramzeilen)
.....-..--.-.-..-.-.-.. (brancard)
.....-..--.-.-..-.-.-..... (brancards)
.....-..--.-.. (brand)
.....-..--.-...-.-...-.-.-- (brandalarm)
.....-..--.-...-........-.-..--.-... (brandassurantie)
.....-..--.-...-........-.-..--.-..-. (brandassurantiãn)
.....-..--.-.......-.-.-. (brandbaar)
.....-..--.-.......-.-.-.-....-. (brandbaarder)
.....-..--.-.......-.-.-........-.. (brandbaarheid)
.....-..--.-.......-.-.-....- (brandbaarst)
.....-..--.-.......-......-. (brandbrief)
.....-..--.-.......-.......-.-. (brandbrieven)
.....-..--.-..-... (brandde)
.....-..--.-...----..-. (brandemmer)
.....-..--.-...----..-.... (brandemmers)
.....-..--.-...-----.-...... (brandemoris)
.....-..--.-...-----.-.......---. (brandemorisje)
.....-..--.-...-----.-.......---.... (brandemorisjes)
.....-..--.-...-. (branden)
.....-..--.-...-.-........- (brandendheet)
.....-..--.-...-.-........-. (brandendheete)
.....-..--.-....-. (brander)
.....-..--.-....-...--. (branderig)
.....-..--.-....-...--...-. (branderiger)
.....-..--.-....-...--........-.. (branderigheid)
.....-..--.-....-...--....- (branderigst)
.....-..--.-....-....--- (branderij)
.....-..--.-....-....---.-. (branderijen)
.....-..--.-....-.... (branders)
.....-..--.-....--...----. (brandewijn)
.....-..--.-....--...----..-. (brandewijnen)
.....-..--.-....--...----.-.---. (brandewijntje)
.....-..--.-....--...----.-.---.... (brandewijntjes)
.....-..--.-..--..--.--. (brandgang)
.....-..--.-..--..--.... (brandgans)
.....-..--.-..--.....-.-.-.-. (brandgevaar)
.....-..--.-.......-.--.- (brandhaak)
.....-..--.-.......--.-.-. (brandhaken)
.....-..--.-......---..-- (brandhout)
.....-..--.-....--. (brandig)
.....-..--.-....--...-. (brandiger)
.....-..--.-....--........-.. (brandigheid)
.....-..--.-....--....- (brandigst)
.....-..--.-.....-----....-. (brandijzer)
.....-..--.-.....-----....-.... (brandijzers)
.....-..--.-....-.--. (branding)
.....-..--.-....-.--..-. (brandingen)
.....-..--.-...---. (brandje)
.....-..--.-...---.... (brandjes)
.....-..--.-..-.-.-...- (brandkast)
.....-..--.-..-.-.-...-.-. (brandkasten)
.....-..--.-..-.-.-..-.--. (brandkraan)
.....-..--.-..-.-.-..--..-. (brandkranen)
.....-..--.-...-...--..-....-. (brandladder)
.....-..--.-...-...--..-....-.... (brandladders)
.....-..--.-...-....--.-.....- (brandlucht)
.....-..--.-..--.....-..-. (brandmeester)
.....-..--.-..--.....-..-.... (brandmeesters)
.....-..--.-..--..-.-.- (brandmerk)
.....-..--.-..--..-.-.-.-. (brandmerken)
.....-..--.-..--..-.-.--. (brandmerkte)
.....-..--.-..-..-..-.. (brandnetel)
.....-..--.-..-..-..-..... (brandnetels)
.....-..--.-..---...-.-. (brandoven)
.....-..--.-..---...-.-.... (brandovens)
.....-..--.-...--..-.-...-.--. (brandpenning)
.....-..--.-...--..-.-...-.--..-. (brandpenningen)
.....-..--.-...--...-.-.- (brandpiket)
.....-..--.-...--...-.-.--.-. (brandpiketten)
.....-..--.-...--...--.- (brandpunt)
.....-..--.-...--...--.-.-. (brandpunten)
.....-..--.-.....-.-......---. (brandschatte)
.....-..--.-.....-.-......---.-. (brandschatten)
.....-..--.-.....-.-......---..-.--. (brandschatting)
.....-..--.-.....-.-......---..-.--..-. (brandschattingen)
.....-..--.-.....-.-.......-.. (brandschel)
.....-..--.-.....-.-.......-...-...-. (brandschellen)
.....-..--.-.....-.-.......-.-- (brandscherm)
.....-..--.-.....-.-.......-.--.-. (brandschermen)
.....-..--.-.....-.-........-..-....-.-... (brandschilderde)
.....-..--.-.....-.-........-..-....-..-. (brandschilderen)
.....-..--.-......-...--.--. (brandslang)
.....-..--.-......-...--.--..-. (brandslangen)
.....-..--.-......--....--...-.. (brandspiegel)
.....-..--.-......--....--...-..... (brandspiegels)
.....-..--.-......--....--...-..-.---. (brandspiegeltje)
.....-..--.-......--....--...-..-.---.... (brandspiegeltjes)
.....-..--.-......--...-..- (brandspuit)
.....-..--.-......--...-..-.-. (brandspuiten)
.....-..--.-......--...-..-......-......---. (brandspuithuisje)
.....-..--.-......--...-..-......-......---.... (brandspuithuisjes)
.....-..--.-......--...-..-.---. (brandspuitje)
.....-..--.-......--...-..-.---.... (brandspuitjes)
.....-..--.-.....-.-.--...-.. (brandstapel)
.....-..--.-.....-.-.--...-..... (brandstapels)
.....-..--.-.....-..-.-.....-.-. (brandstichten)
.....-..--.-.....-..-.-.....-..-. (brandstichter)
.....-..--.-.....-..-.-.....-..-.... (brandstichters)
.....-..--.-.....----..-. (brandstof)
.....-..--.-.....----..-...-..-. (brandstoffen)
.....-..--.-.....-.-....--- (brandvrij)
.....-..--.-...--.-.-.-.....---.-.--.--.-.--...-.-......-.--..--....--- (brandwaarborgmaatschappij)
.....-..--.-...--.-.-.-.....---.-.--.--.-.--...-.-......-.--..--....---.-. (brandwaarborgmaatschappijen)
.....-..--.-...--.--.-.....- (brandwacht)
.....-..--.-...--...-. (brandweer)
.....-..--.-...--...-.-.-.---....-.-.. (brandweerkazerne)
.....-..--.-...--...-.-.-.---....-.-..... (brandweerkazernes)
.....-..--.-...--...-.--.--. (brandweerman)
.....-..--.-...--...-.--.--.-..-. (brandweermannen)
.....-..--.-...------.-... (brandwonde)
.....-..--.-...------.-...-. (brandwonden)
.....-..--.-..--......-.. (brandzeil)
.....-..--.-..--......-...-. (brandzeilen)
.....-..--... (brani)
.....-..--....----.... (brani's)
.....-..-... (bras)
.....-..-....-- (brasem)
.....-..-....--.--..---. (brasempje)
.....-..-....--.--..---.... (brasempjes)
.....-..-....--... (brasems)
.....-..-....--..-.-.-...--- (braspartij)
.....-..-....--..-.-.-...---.-. (braspartijen)
.....-..-........-....--- (brasserij)
.....-..-........-....---.-. (brasserijen)
.....-..-- (brat)
.....-..-...-.--... (bravade)
.....-..-...-.--...... (bravades)
.....-..-...-..-. (braver)
.....-..-...-----....---...-.---..--. (bravo-geroep)
.....-...-.. (breed)
.....-...-......--..-..--.-..--. (breedsprakig)
.....-...-......--..-..--.-..--...-. (breedsprakiger)
.....-...-......--..-..--.-..--........-.. (breedsprakigheid)
.....-...-......--..-..--.-..--....- (breedsprakigst)
.....-...-..-.--..-..-.--.. (breedtegraad)
.....-...-..-.--..-..--...-. (breedtegraden)
.....-...-..-.-. (breedten)
.....-...-.....----..-...--. (breedvoerig)
.....-...-.....----..-...--...-. (breedvoeriger)
.....-...-.....----..-...--........-.. (breedvoerigheid)
.....-...-.....----..-...--....- (breedvoerigst)
.....-...-.....----.-..--. (breedvoetig)
.....-...-.....----.-..--...-. (breedvoetiger)
.....-...-.....----.-..--....- (breedvoetigst)
.....-.....-.----.--.-.-. (breefokken)
.....-...-.-.....-.-.-. (breekbaar)
.....-...-.-.....-.-.-.-....-. (breekbaarder)
.....-...-.-...-----....-. (breekijzer)
.....-...-.-...-----....-.... (breekijzers)
.....-.....-.---... (breeuwde)
.....-.....-.--..-. (breeuwer)
.....-.....-.--..-.... (breeuwers)
.....-.....-.--.....---..-. (breeuwhamer)
.....-.....-.--.....---..-.... (breeuwhamers)
.....-.....-.--...----..-.. (breeuwstoel)
.....-.....-.--...----..-...-. (breeuwstoelen)
.....-....-... (breide)
.....-....-....-..-... (breidelde)
.....-....-....-...-. (breidelen)
.....-....-....-....-.--. (breideling)
.....-....-....-....-.--..-. (breidelingen)
.....-....-....-...-..------... (breidelloos)
.....-....-....-...-..------...- (breidelloost)
.....-....-....-...-..--------....-. (breidelloozer)
.....-....-....-..-.---.... (breideltjes)
.....-.....-. (breien)
.....-......-.... (breiers)
.....-....--..-.-..-. (breigaren)
.....-....--.---.-.. (breigoed)
.....-....-.-.-..---... (breiklos)
.....-....-.-.-..---.......-. (breiklossen)
.....-....-.----..-... (breikous)
.....-....-.----..-....-. (breikousen)
.....-....-.----..-....---. (breikousje)
.....-....-.----..-....---.... (breikousjes)
.....-....--.--.-.......-.. (breimachine)
.....-....--.--.-.......-..... (breimachines)
.....-....-. (brein)
.....-....-..-.-.-..-.. (breinaald)
.....-.....--..-. (breipen)
.....-.....--..-.-..-. (breipennen)
.....-.......-.-.....---.-...-. (breischolen)
.....-.......-.-.....------.-.. (breischool)
.....-.......-.-.....------.-..-.---. (breischooltje)
.....-.......-.-.....------.-..-.---.... (breischooltjes)
.....-....----.........-.---. (breitobbetje)
.....-....----.........-.---.... (breitobbetjes)
.....-.....--..-.-.- (breiwerk)
.....-.....-----.-.. (breiwol)
.....-....--...--.- (breizak)
.....-....--...--.--.-.-. (breizakken)
.....-..-.-.......-. (brekebeen)
.....-..-.-.-. (breken)
.....-..-.-.....--...-.. (brekespel)
.....-..-.-.....--...-...-...-. (brekespellen)
.....-..-.-..-.--. (breking)
.....-..-- (brem)
.....-..--...-.-...-..-.- (bremstruik)
.....-..--...-.-...-..-.-.-. (bremstruiken)
.....-..-.--..-. (brengen)
.....-..-.--...-. (brenger)
.....-..-.--...-.... (brengers)
.....-..-.--....-..-. (brengster)
.....-..-.--....-..-.... (brengsters)
.....-.........-. (bressen)
.....-....--.- (breuk)
.....-....--.-.....--.-.. (breukband)
.....-....--.-.....--.-...-. (breukbanden)
.....-....--.-.-. (breuken)
.....-....--.-.---. (breukje)
.....-....--.-.---.... (breukjes)
.....-.....-....-..-. (brevieren)
.....-......-..---. (briefje)
.....-......-..---.... (briefjes)
.....-......-.-.-.-.-.-.- (briefkaart)
.....-......-.-.-.-.-.-.-.-..-.-........--- (briefkaartenalbum)
.....-......-.-.-.-.-.-.-.-..-.-........---... (briefkaartenalbums)
.....-......-..--.---.-.- (briefport)
.....-......-..--.---.-.---- (briefporto)
.....-......-..--.---.-.----.----.... (briefporto's)
.....-......-..--..........-....-.--. (briefwisseling)
.....-.......-.-......-. (brieschen)
.....-.......-.-.....-. (brieschte)
.....-........-. (briesen)
.....-........---. (briesje)
.....-........---.... (briesjes)
.....-.......-.-.....---.-.- (brievenboek)
.....-.......-.-.....---.-.-.-. (brievenboeken)
.....-.......-.-.......-... (brievenbus)
.....-.......-.-..--.---...- (brievenpost)
.....-.......-.-..--.---...-.-. (brievenposten)
.....-.......-.-.-.-...-.-......---. (brieventaschje)
.....-.......-.-.-.-...-.-......---.... (brieventaschjes)
.....-.......-.-.-.-......-.-......-. (brieventasschen)
.....-.......-.-..--.--...-. (brievenweger)
.....-.......-.-..--.--...-.... (brievenwegers)
.....-.......-.-.--...--.- (brievenzak)
.....-.......-.-.--...--.--.-.-. (brievenzakken)
.....-...--..--... (brigade)
.....-...--..--...-. (brigaden)
.....-...--..--...... (brigades)
.....-...--..--......-. (brigadier)
.....-...--..--......-.... (brigadiers)
.....-....--- (brij)
.....-....---.-. (brijen)
.....-....----. (brijn)
.....-....-----....-.. (brijzel)
.....-....-----....-..-... (brijzelde)
.....-....-----....-...-. (brijzelen)
.....-....-----....-..... (brijzels)
.....-....-----....-..-.---. (brijzeltje)
.....-....-----....-..-.---.... (brijzeltjes)
.....-...-.-.- (briket)
.....-...-.-.--.-. (briketten)
.....-...-.--.-.-. (brikken)
.....-...-.-...-..-..-. (briksteenen)
.....-....-.. (bril)
.....-....-...---.--.- (briljant)
.....-....-...---.--.-.-. (briljanten)
.....-....-...-...--.- (brillant)
.....-....-...-...-..------... (brilledoos)
.....-....-...-...-..--------...-. (brilledoozen)
.....-....-...-...--..-...-... (brilleglas)
.....-....-...-...--..-...---...-. (brilleglazen)
.....-....-...-...-. (brillen)
.....-....-...-...-.......-......---. (brillenhuisje)
.....-....-...-...-.......-......---.... (brillenhuisjes)
.....-....-...-...-.--.--.-..-. (brillenmaker)
.....-....-...-...-.--.--.-..-.... (brillenmakers)
.....-....-...-...-.....-.....---.--...-. (brillenslijper)
.....-....-...-...-.....-.....---.--...-.... (brillenslijpers)
.....-....-...-...-.---.... (brilletjes)
.....-...-.-.- (brink)
.-...- (Brit)
.....-...-... (brits)
.-...-...-.-..... (Britsch)
.-...--.-. (Britten)
.....-.----.-...... (broche)
.....-.----.-......... (broches)
.....-.----.-.......-.-.. (brochure)
.....-.----.-.......-.-..... (brochures)
.....-.----..-... (brodde)
.....-.----..-....-...-.-.-. (broddelaar)
.....-.----..-....-...-.-.-.... (broddelaars)
.....-.----..-....-..-... (broddelde)
.....-.----..-....-...-. (broddelen)
.....-.----..-....-...--..-.-.- (broddelwerk)
.....-.----..-...-. (brodden)
.....-.---.-..-... (broedde)
.....-.---.-...-. (broeden)
.....-.---.-....-. (broeder)
.....-.---.-....-.-....----...-..-....-. (broeder-overste)
.....-.---.-....-.-....----...-..-....-.-. (broeder-oversten)
.....-.---.-....-..-.....----.- (broederlijk)
.....-.---.-....-..-.....----.-..-. (broederlijker)
.....-.---.-....-..-.....----.-.......-.. (broederlijkheid)
.....-.---.-....-..-.....----.-...- (broederlijkst)
.....-.---.-....-..-..------... (broederloos)
.....-.---.-....-..-..--------... (broederlooze)
.....-.---.-....-.--------.-.-.. (broedermoord)
.....-.---.-....-.... (broeders)
.....-.---.-....-....-.-......-.--..--..-. (broederschappen)
.....-.---.-....-.-.---. (broedertje)
.....-.---.-....-.-.---.... (broedertjes)
.....-.---.-...--..-...-.--... (broedplaats)
.....-.---.-...--..-...-.--....-. (broedplaatsen)
.....-.---.-.....-.-............-.. (broedschheid)
.....-.---.-.......-.. (broedsel)
.....-.---.-.......-..... (broedsels)
.....-.---.-.....-------..-. (broedstoof)
.....-.---.-.....-------..-..---. (broedstoofje)
.....-.---.-.....-------..-..---.... (broedstoofjes)
.....-.---.-.....----...-.-. (broedstoven)
.....-.---... (broei)
.....-.---........--.- (broeibak)
.....-.---........--.--.-.-. (broeibakken)
.....-.---...-... (broeide)
.....-.---.....-.-.. (broeieend)
.....-.---.....-.-...-. (broeieenden)
.....-.---...... (broeiei)
.....-.---........-..-. (broeieieren)
.....-.---....-. (broeien)
.....-.---.....-....--- (broeierij)
.....-.---.....-....---.-. (broeierijen)
.....-.---........-. (broeihen)
.....-.---........-.-..-. (broeihennen)
.....-.---.....-.--. (broeiing)
.....-.---...-.-.-... (broeikas)
.....-.---...-.-.-.......-. (broeikassen)
.....-.---...-.-.-...- (broeikast)
.....-.---...-.-.-...-.-. (broeikasten)
.....-.---...-.-..-...--. (broeikuip)
.....-.---...-.-..-...--..-. (broeikuipen)
.....-.---...-.....- (broeinest)
.....-.---...-.....-.-. (broeinesten)
.....-.---...---...-.-. (broeioven)
.....-.---...---...-.-.... (broeiovens)
.....-.---........-.. (broeisel)
.....-.---........-..... (broeisels)
.....-.---...-...----.. (broeitijd)
.....-.---.-.- (broek)
.....-.---.-.-.-....----..-. (broekenstof)
.....-.---.-.-.---.... (broekjes)
.....-.---.-.-........--.-.. (broeksband)
.....-.---.-.-........--.-...-. (broeksbanden)
.....-.---.-.-...-.-........-.-.-....-. (broekscheurder)
.....-.---.-.-....--....---.--. (broekspijp)
.....-.---.-.-....--....---.--..-. (broekspijpen)
.....-.---.-.-...----..-. (broekstof)
.....-.---.-.---...--.- (broekzak)
.....-.---.-.---...--.--.-.-. (broekzakken)
.....-.---..-. (broer)
.....-.---..-.... (broers)
.....-.---..-.-.---. (broertje)
.....-.---..-.-.---.... (broertjes)
.....-.----.- (brok)
.....-.----.-.---.... (brokjes)
.....-.----.--.-..-..-... (brokkelde)
.....-.----.--.-..-...-. (brokkelen)
.....-.----.--.-..-....--. (brokkelig)
.....-.----.--.-..-....--...-. (brokkeliger)
.....-.----.--.-..-....--....- (brokkeligst)
.....-.----.--.-..-....-.--. (brokkeling)
.....-.----.--.-..-....-.--..-. (brokkelingen)
.....-.-----.......-. (brombeer)
.....-.-----......-..-. (bromberen)
.....-.------... (bromde)
.....-.------.-....-..-. (bromkever)
.....-.------.-....-..-.... (bromkevers)
.....-.-------..-. (brommer)
.....-.-------..-.... (brommers)
.....-.-------..--. (brommig)
.....-.-------..--...-. (brommiger)
.....-.-------..--....- (brommigst)
.....-.-----...-.-.....--. (bromvlieg)
.....-.-----...-.-.....--..-. (bromvliegen)
.....-.----.-..-....-..--..... (bronnenstudie)
.....-.----.... (brons)
.....-.----....-... (bronsde)
.....-.----....-.-.-.....-.-. (bronskleur)
.....-.----....-.-.-.....-.-...--. (bronskleurig)
.....-.----.....--...-...----... (bronsperiode)
.....-.----....- (bronst)
.....-.----....-.-. (bronsten)
.....-.----....-..--. (bronstig)
.....-.----....-..--...-. (bronstiger)
.....-.----....-..--....- (bronstigst)
.....-.----....--. (bronstte)
.....-.----....--...----.. (bronsttijd)
.....-.----..--.--..-. (bronwater)
.....-.----..--.--..-..-. (bronwateren)
.....-.----.--...-. (bronzen)
.....-.-------.. (brood)
.....-.-------.......--.--.-..-. (broodbakker)
.....-.-------.......--.--.-..-....--- (broodbakkerij)
.....-.-------.......--.--.-..-....---.-. (broodbakkerijen)
.....-.-------.......--.--.-..-.... (broodbakkers)
.....-.-------..-...-.----.-.-.-. (brooddronken)
.....-.-------..-...-.----.-.-.-...-. (brooddronkener)
.....-.-------..-...-.----.-.-.-........-.. (brooddronkenheid)
.....-.-------..-...-.----.-.-.-....- (brooddronkenst)
.....-.-------....-..------... (broodeloos)
.....-.-------....-..--------... (broodelooze)
.....-.-------...-. (brooden)
.....-.-------....-..-.....-....-.- (broodfabriek)
.....-.-------....-..-.....-....-.-.-. (broodfabrieken)
.....-.-------...---. (broodje)
.....-.-------...---.... (broodjes)
.....-.-------..-.-.-.-. (broodkar)
.....-.-------..-.-.-.-..-..-. (broodkarren)
.....-.-------..--.--.-.. (broodmand)
.....-.-------..--.--.-...-. (broodmanden)
.....-.-------..--.... (broodmes)
.....-.-------..--........-. (broodmessen)
.....-.-------..-....----.. (broodnijd)
.....-.-------..-.-------....--. (broodnoodig)
.....-.-------.....-.-......-....---...-..-. (broodschrijver)
.....-.-------.....-.-......-....---...-..-.... (broodschrijvers)
.....-.-------.....--.......-..-.- (broodsgebrek)
.....-.-------.......-..-.-..-. (broodsuiker)
.....-.-------..-.-.-------..-.. (broodtrommel)
.....-.-------..-.-.-------..-..... (broodtrommels)
.....-.-------...--..-.-...-.--. (broodwinning)
.....-.-------...--..-.-...-.--..-. (broodwinningen)
.....-.-------..--...--..-.--. (broodzetting)
.....-.-------..--...--..-.--..-. (broodzettingen)
.....-.------... (broos)
.....-.------..........-.. (broosheid)
.....-.------....---. (broosje)
.....-.------....---.... (broosjes)
.....-.------...- (broost)
.....-.---... (bros)
.....-.---..........-.. (brosheid)
.....-.---........-. (brosser)
.....-.---...- (brost)
.....-.---..-...-...-..----. (brouillon)
.....-.---..-...-...-..----.... (brouillons)
.....-.---..-.---... (brouwde)
.....-.---..-.--.-. (brouwen)
.....-.---..-.--..-. (brouwer)
.....-.---..-.--..-....--- (brouwerij)
.....-.---..-.--..-....---.-. (brouwerijen)
.....-.---..-.--..-.... (brouwers)
.....-.---..-.--..-.....--..-.-.-.-.. (brouwerspaard)
.....-.---..-.--..-.....--..-.-.-.-...-. (brouwerspaarden)
.....-.---..-.--..-.....--.---..-. (brouwerswagen)
.....-.---..-.--..-.....--.---..-.... (brouwerswagens)
.....-.---..-.--......-..... (brouwhuis)
.....-.---..-.--......-..--...-. (brouwhuizen)
.....-.---..-.---.-.-..-.. (brouwketel)
.....-.---..-.---.-.-..-..... (brouwketels)
.....-.---..-.---.-..-...--. (brouwkuip)
.....-.---..-.---.-..-...--..-. (brouwkuipen)
.....-.---..-.--.....-.. (brouwsel)
.....-.---..-.--.....-..... (brouwsels)
.....-.---..-.--...-..-. (brouwster)
.....-.---..-.--...-..-.... (brouwsters)
.....-.-----...-. (brozen)
.....-.-----....-. (brozer)
.....-...---. (brug)
.....-...---......-.-...--.... (brugbalans)
.....-...---......-.-...--.....-. (brugbalansen)
.....-...---.--..--...-..-.. (bruggegeld)
.....-...---.--..-. (bruggen)
.....-...---.--..-.....------..-.-.. (bruggenhoofd)
.....-...---.--..-.....------..-.-...-. (bruggenhoofden)
.....-...---.--..-.---. (bruggetje)
.....-...---.--..-.---.... (bruggetjes)
.....-...---.--...--.--.-.....-..-. (bruggewachter)
.....-...---.--...--.--.-.....-..-.... (bruggewachters)
.....-...---..---. (brugje)
.....-...---..---.... (brugjes)
.....-...-.. (brui)
.....-...-..-...--.----- (bruidegom)
.....-...-..-...--.-----... (bruidegoms)
.....-...-..-...-. (bruiden)
.....-...-..-...---. (bruidje)
.....-...-..-...---.... (bruidjes)
.....-...-..-.........---..---.-..-.- (bruidsbouquet)
.....-...-..-.........---..---.-..-.--.-. (bruidsbouquetten)
.....-...-..-.....-...---..-. (bruidsdagen)
.....-...-..-.....--.....-.- (bruidsgift)
.....-...-..-.....--.....-.-.-. (bruidsgiften)
.....-...-..-......---.-.--.----. (bruidsjapon)
.....-...-..-......---.-.--.----.-..-. (bruidsjaponnen)
.....-...-..-......---.-.--.----.... (bruidsjapons)
.....-...-..-......-------.-.-..-. (bruidsjonker)
.....-...-..-......-------.-.-..-.... (bruidsjonkers)
.....-...-..-.....-.-.-.....-..-. (bruidskleeren)
.....-...-..-.....--.......---. (bruidsmeisje)
.....-...-..-.....--.......---.... (bruidsmeisjes)
.....-...-..-......--..-.-.-...--- (bruidspartij)
.....-...-..-......--..-.-.-...---.-. (bruidspartijen)
.....-...-..-......--..-.-.-...----.---. (bruidspartijtje)
.....-...-..-......--..-.-.-...----.---.... (bruidspartijtjes)
.....-...-..-........-.-......-- (bruidsschat)
.....-...-..-........-.-......---.-. (bruidsschatten)
.....-...-..-........----.- (bruidsstoet)
.....-...-..-.....-...----.. (bruidstijd)
.....-...-..-.....-.-..--..-. (bruidstranen)
.....-...-..-.....--....-...-..-. (bruidszuster)
.....-...-..-.....--....-...-..-.... (bruidszusters)
.....-...-....-....--- (bruierij)
.....-...-....-....---.-. (bruierijen)
.....-...-..--.----- (bruigom)
.....-...-..--.-----... (bruigoms)
.....-...-..--.-----....--....---.--. (bruigomspijp)
.....-...-..--.-----....--....---.--..-. (bruigomspijpen)
.....-...-..-.-.....-.-.-........-.. (bruikbaarheid)
.....-...-..-.-.....-.-.-....- (bruikbaarst)
.....-...-..-.-.-....-. (bruikleen)
.....-...-...-..---..-.- (bruiloft)
.....-...-...-..---..-.-.-. (bruiloften)
.....-...-...-..---..-.-...-...---. (bruiloftsdag)
.....-...-...-..---..-.-...-...---..-. (bruiloftsdagen)
.....-...-...-..---..-.-...-....-.-.....- (bruiloftsdicht)
.....-...-...-..---..-.-...-....-.-.....-.-. (bruiloftsdichten)
.....-...-...-..---..-.-...-.......-.-..... (bruiloftsdisch)
.....-...-...-..---..-.-.....-......- (bruiloftsfeest)
.....-...-...-..---..-.-.....-......-.-. (bruiloftsfeesten)
.....-...-...-..---..-.-...--..-...- (bruiloftsgast)
.....-...-...-..---..-.-...--..-...-.-. (bruiloftsgasten)
.....-...-...-..---..-.-...-.-.-....-.. (bruiloftskleed)
.....-...-...-..---..-.-...-.-.-....-....-..-. (bruiloftskleederen)
.....-...-...-..---..-.-...-.-.-.....-..-. (bruiloftskleeren)
.....-...-...-..---..-.-....-.....-.. (bruiloftslied)
.....-...-...-..---..-.-....-.....-....-..-. (bruiloftsliederen)
.....-...-...-..---..-.-....-.....-...---. (bruiloftsliedje)
.....-...-...-..---..-.-....-.....-...---.... (bruiloftsliedjes)
.....-...-...-..---..-.-...--.-.-.-.. (bruiloftsmaal)
.....-...-...-..---..-.-...--.-.-...-. (bruiloftsmalen)
.....-...-...-..---..-.-......-..-.... (bruiloftsvers)
.....-...-...-..---..-.-......-..-.....---. (bruiloftsversje)
.....-...-...-..---..-.-......-..-.....---.... (bruiloftsversjes)
.....-...-...-..---..-.-......-..-.--...-. (bruiloftsverzen)
.....-...-..-..--.-.....-..--. (bruinachtig)
.....-...-..-..--.-.....-..--...-. (bruinachtiger)
.....-...-..-..--.-.....-..--....- (bruinachtigst)
.....-...-..-.-... (bruinde)
.....-...-..-....-....-----....-. (bruineerijzer)
.....-...-..-....-....-----....-.... (bruineerijzers)
.....-...-..-....-....-.-.-.-.. (bruineerstaal)
.....-...-..-..-. (bruinen)
.....-...-..-...-. (bruiner)
.....-...-..-.--....-.. (bruingeel)
.....-...-..-.--...-... (bruingele)
.....-...-..-........-.. (bruinheid)
.....-...-..-.-.----.-...-. (bruinkolen)
.....-...-..-.-.-------.-.......-...-.-.- (bruinkoolbriket)
.....-...-..-.-.-------.-.......-...-.-.--.-. (bruinkoolbriketten)
.....-...-..-.--------..-. (bruinoogen)
.....-...-..-.--------...--. (bruinoogig)
.....-...-..-....- (bruinst)
.....-...-..-.-.---.... (bruintjes)
.....-...-..-....-.....-.-..... (bruinvisch)
.....-...-..-....-.....-.-......---. (bruinvischje)
.....-...-..-....-.....-.-......---.... (bruinvischjes)
.....-...-..... (bruis)
.....-...-......--.---.-....-. (bruispoeder)
.....-...-......--.---.....-. (bruispoeier)
.....-...-.-......---... (brulboei)
.....-...-.-......---....-. (brulboeien)
.....-...-.-..-... (brulde)
.....-...--..- (brunet)
