.-.----.... (a's)
.-.--......-.-.---..-.---.. (aanbetrouwd)
.-.--......-.-.---..-.--.-. (aanbetrouwen)
.-.--.........-..-...-. (aanbevelen)
.-.--.........-..-...-.....--.-.-.-.-....--. (aanbevelenswaardig)
.-.--.........-..-...-.....--.-.-.-.-....--...-. (aanbevelenswaardiger)
.-.--.........-..-...-.....--.-.-.-.-....--....- (aanbevelenswaardigst)
.-.--.........-..-....-. (aanbeveler)
.-.--.........-..-....-.... (aanbevelers)
.-.--.........-..-....-.--. (aanbeveling)
.-.--.........-..-....-.--..-. (aanbevelingen)
.-.--.........-..-....-.--.........-......-. (aanbevelingsbrief)
.-.--.........-..-....-.--.........-.......-.-. (aanbevelingsbrieven)
.-.--.........----.-...-. (aanbevolen)
.-.--.......-.......-.-.-. (aanbidbaar)
.-.--.......-.......-.-.. (aanbidbare)
.-.--.......-..-....-.....----.- (aanbiddelijk)
.-.--.......-..-....-.....----.-..-. (aanbiddelijker)
.-.--.......-..-....-.....----.-.......-.. (aanbiddelijkheid)
.-.--.......-..-....-.....----.-...- (aanbiddelijkst)
.-.--.......-..-...-. (aanbidden)
.-.--.......-..-...-.....--.-.-.-.-....--. (aanbiddenswaardig)
.-.--.......-..-...-.....--.-.-.-.-....--...-. (aanbiddenswaardiger)
.-.--.......-..-...-.....--.-.-.-.-....--....- (aanbiddenswaardigst)
.-.--.......-..-....-. (aanbidder)
.-.--.......-..-....-.... (aanbidders)
.-.--.......-..-....-.--. (aanbidding)
.-.--.......-..-....-.--..-. (aanbiddingen)
.-.--.......-.....-..-. (aanbidster)
.-.--.......-.....-..-.... (aanbidsters)
.-.--........-...-. (aanbieden)
.-.--........-....-.--. (aanbieding)
.-.--........-....-.--..-. (aanbiedingen)
.-.--........----.-. (aanbijten)
.-.--.......-.-...-. (aanbinden)
.-.--......-...-..-...-..-. (aanblaffen)
.-.--......-...--.-. (aanblaten)
.-.--......-...---...-. (aanblazen)
.-.--......-...---....-.--. (aanblazing)
.-.--......-.....---...-.-. (aanblijven)
.-.--......-....-.- (aanblik)
.-.--......-....-.--.-.-. (aanblikken)
.-.--.....----.. (aanbod)
.-.--.....---.-.-.-. (aanboeken)
.-.--.....------.-.-.. (aanboord)
.-.--.....------.-.-...-. (aanboorden)
.-.--.....------.-.-....-. (aanboorder)
.-.--.....------.-.-....-.... (aanboorders)
.-.--.....------.-.-....-.--. (aanboording)
.-.--.....------.-.-....-.--..-. (aanboordingen)
.-.--.....---.-..-. (aanboren)
.-.--.....----....-. (aanbotsen)
.-.--.....---..-.-- (aanbouw)
.-.--.....---..-.--.-. (aanbouwen)
.-.--.....---..-.--..-.--. (aanbouwing)
.-.--.....---..-.--..-.--..-. (aanbouwingen)
.-.--.....---..-.--.....-.. (aanbouwsel)
.-.--.....---..-.--.....-..... (aanbouwsels)
.-.--......-..--.-...-. (aanbranden)
.-.--......-..--.-....-.--. (aanbranding)
.-.--......-..-.......-. (aanbrassen)
.-.--......-.....-. (aanbreien)
.-.--......-.........-.. (aanbreisel)
.-.--......-.........-..... (aanbreisels)
.-.--......-..-.-.-. (aanbreken)
.-.--......-..-.--..-. (aanbrengen)
.-.--......-..-.--...-. (aanbrenger)
.-.--......-..-.--...-.... (aanbrengers)
.-.--......-..-.--...-.--. (aanbrenging)
.-.--......-..-.--..--..-..--... (aanbrengpremie)
.-.--......-..-.--..--..-..--..-. (aanbrengpremiãn)
.-.--......-..-.--......-.. (aanbrengsel)
.-.--......-..-.--......-..... (aanbrengsels)
.-.--......-..-.--....- (aanbrengst)
.-.--......-..-.--....-.-. (aanbrengsten)
.-.--......-.......-.-. (aanbrieven)
.-.--......-...-......-. (aanbruisen)
.-.--......-...-.-...-...-. (aanbrullen)
.-.--.......-..--..-. (aanbuigen)
.-.--.......-.-..-....-..-. (aanbulderen)
.-.--.-...--.-.....- (aandacht)
.-.--.-...--.-.....-..--. (aandachtig)
.-.--.-...--.-.....-..--...-. (aandachtiger)
.-.--.-...--.-.....-..--......-...-. (aandachtigheden)
.-.--.-...--.-.....-..--........-.. (aandachtigheid)
.-.--.-...--.-.....-..--....- (aandachtigst)
.-.--.-...--.- (aandak)
.-.--.-...--.-.-. (aandaken)
.-.--.-...-----.-. (aandammen)
.-.--.-...-----..-.--. (aandamming)
.-.--.-...-----..-.--..-. (aandammingen)
.-.--.-...--.....-. (aandansen)
.-.--.-.....-........--...---... (aandeelbewijs)
.-.--.-.....-........--...-----...-. (aandeelbewijzen)
.-.--.-.....-...-. (aandeelen)
.-.--.-.....-.................-. (aandeelhebber)
.-.--.-.....-.................-.... (aandeelhebbers)
.-.--.-.....-......---..--....-. (aandeelhouder)
.-.--.-.....-......---..--....-.... (aandeelhouders)
.-.--.-.....-..-.---.... (aandeeltjes)
.-.--.-...-.-.-.-. (aandenken)
.-.--.-....-.-.....-.-. (aandichten)
.-.--.-....-.-.....-..-.--. (aandichting)
.-.--.-....-.-.....-..-.--..-. (aandichtingen)
.-.--.-.....-..-. (aandienen)
.-.--.-......--..-. (aandiepen)
.-.--.-......--...-.--. (aandieping)
.-.--.-......--...-.--..-. (aandiepingen)
.-.--.-.....----.-.-. (aandijken)
.-.--.-.....----.-..-.--. (aandijking)
.-.--.-.....----.-..-.--..-. (aandijkingen)
.-.--.-..---.-. (aandoen)
.-.--.-..---.-...-.--. (aandoening)
.-.--.-..---.-...-.--..-. (aandoeningen)
.-.--.-..---.-..-.....----.- (aandoenlijk)
.-.--.-..---.-..-.....----.-..-. (aandoenlijker)
.-.--.-..---.-..-.....----.-.......-.. (aandoenlijkheid)
.-.--.-..---.-..-.....----.-...- (aandoenlijkst)
.-.--.-..---.......-. (aandossen)
.-.--.-...-..-.---....-..-. (aandraagster)
.-.--.-...-..-.---....-..-.... (aandraagsters)
.-.--.-...-..-.-...-. (aandraaien)
.-.--.-...-..---..-. (aandragen)
.-.--.-...-..---...-. (aandrager)
.-.--.-...-..---...-.... (aandragers)
.-.--.-...-..--.--. (aandrang)
.-.--.-...-..-...-.-. (aandraven)
.-.--.-...-....---...-.-. (aandrijven)
.-.--.-...-....---...-..-. (aandrijver)
.-.--.-...-....---...-..-.... (aandrijvers)
.-.--.-...-....---...-..-.--. (aandrijving)
.-.--.-...-....---...-..-.--..-. (aandrijvingen)
.-.--.-...-...-.--..-. (aandringen)
.-.--.-...-...--.--.-.-. (aandrukken)
.-.--.-...-...--.--.-..-.--. (aandrukking)
.-.--.-...-...--.--.-..-.--..-. (aandrukkingen)
.-.--.-....-..-....-.--..-. (aanduidingen)
.-.--.-....-.-....-.-. (aandurven)
.-.--.-....-.--.-. (aanduwen)
.-.--.-...--....-...-. (aandweilen)
.-.--.-...--..-.--..-. (aandwingen)
.-.--...-. (aaneen)
.-.--...-..........------.-.-.. (aaneenbehoord)
.-.--...-..........------.-..-. (aaneenbehooren)
.-.--...-.......-.-...-. (aaneenbinden)
.-.--...-.......-.-....-.--. (aaneenbinding)
.-.--...-.......-.-....-.--..-. (aaneenbindingen)
.-.--...-......-.....---...-.-. (aaneenblijven)
.-.--...-......-.....-. (aaneenbreien)
.-.--...-......-..-.--..-. (aaneenbrengen)
.-.--...-...-..-...--.....-. (aaneenflansen)
.-.--...-.--.......-......-.-. (aaneengebleven)
.-.--...-.--......----.-...-. (aaneengebonden)
.-.--...-.--.......-..--.-.....- (aaneengebracht)
.-.--...-.--.......-....-.. (aaneengebreid)
.-.--...-.--....-..-...--....- (aaneengeflanst)
.-.--...-.--..--..-.---...-.. (aaneengegroeid)
.-.--...-.--.......-.--.-- (aaneengehaakt)
.-.--...-.--.......--.--..-. (aaneengehangen)
.-.--...-.--.......-.-.....- (aaneengehecht)
.-.--...-.--......---..--...-. (aaneengehouden)
.-.--...-.--..-.-.-.-.-.. (aaneengeketend)
.-.--...-.--..-.-.-...---.--.- (aaneengeklampt)
.-.--...-.--..-.-.-......-.-.. (aaneengekleefd)
.-.--...-.--..-.-.-..----.-.-.-. (aaneengeklonken)
.-.--...-.--..-.-.-....-.....-..-.-.. (aaneengekluisterd)
.-.--...-.--..-.--.------.--.- (aaneengeknoopt)
.-.--...-.--..-.----.--..--...-..-.. (aaneengekoppeld)
.-.--...-.--...-...-...-.-.....- (aaneengelascht)
.-.--...-.--...-...--.-.. (aaneengelegd)
.-.--...-.--...-...--..-. (aaneengelegen)
.-.--...-.--...-.....-.. (aaneengeleid)
.-.--...-.--...-.....------.. (aaneengelijmd)
.-.--...-.--..-..-.-..-.. (aaneengenaaid)
.-.--...-.--..-..---...-..-.. (aaneengenageld)
.-.--...-.--...--..-...- (aaneengepast)
.-.--...-.--...--..-...-.--...- (aaneengeplaatst)
.-.--...-.--...--..-...--.-- (aaneengeplakt)
.-.--...-.--...-..--..-. (aaneengeregen)
.-.--...-.--.....-.-......--.-..-..-.. (aaneengeschakeld)
.-.--...-.--.....-.-.....---...-.-. (aaneengeschoven)
.-.--...-.--......-..----.-. (aaneengesloten)
.-.--...-.--.....--..-.. (aaneengesmeed)
.-.--...-.--.....-.---..-.-.. (aaneengesnoerd)
.-.--...-.--.....---.-..-.....-.-.. (aaneengesoldeerd)
.-.--...-.--......--....----.-..-.-.. (aaneengespijkerd)
.-.--...-.--.....-.-.--. (aaneengestaan)
.-.--...-.--.....-.-...-.-- (aaneengestrikt)
.-.--...-.--.....-.-..----.-.....-.-. (aaneengevlochten)
.-.--...-.--.....----.--.-.. (aaneengevoegd)
.-.--...-.--...--..-..-.. (aaneengeweld)
.-.--...-.--..--...- (aaneengezet)
.-.--...-.--..--...-.-. (aaneengezeten)
.-.--...-.--..-.---....-. (aaneengroeien)
.-.--...-.--..-.---.....-.--. (aaneengroeiing)
.-.--...-......--.-.-. (aaneenhaken)
.-.--...-......--.--..-. (aaneenhangen)
.-.--...-......-.-.....-.-. (aaneenhechten)
.-.--...-......-.-.....-..-.--. (aaneenhechting)
.-.--...-......-.-.....-..-.--..-. (aaneenhechtingen)
.-.--...-.....---..--...-. (aaneenhouden)
.-.--...-.-.-.-.-..-. (aaneenketenen)
.-.--...-.-.-.-...---.--..-. (aaneenklampen)
.-.--...-.-.-.-......-.-. (aaneenkleven)
.-.--...-.-.-.-....-.-.-.-. (aaneenklinken)
.-.--...-.-.-.-....-.....-..-..-. (aaneenkluisteren)
.-.--...-.-.--.------.--..-. (aaneenknoopen)
.-.--...-.-.----.--..--...-...-. (aaneenkoppelen)
.-.--...-.-.----.--..--...-....-.--. (aaneenkoppeling)
